Date : 2022-01-31 21:32:49
Directory : /Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src
Total : 100 files,  4437 codes, 137 comments, 454 blanks, all 5028 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         99 |      4,422 |        137 |        451 |      5,010 |
| CSS        |          1 |         15 |          0 |          3 |         18 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                        | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                           |        100 |      4,437 |        137 |        454 |      5,028 |
| CustomHooks                                                                                                                 |          5 |         75 |          1 |         12 |         88 |
| _consts                                                                                                                     |          2 |         13 |          0 |          2 |         15 |
| _consts/colors                                                                                                              |          1 |          7 |          0 |          1 |          8 |
| _consts/server                                                                                                              |          1 |          6 |          0 |          1 |          7 |
| components                                                                                                                  |         41 |      2,122 |         92 |        222 |      2,436 |
| components/AdminBar                                                                                                         |          2 |         80 |          0 |          7 |         87 |
| components/AdminTopBar                                                                                                      |          1 |         43 |          0 |          4 |         47 |
| components/App                                                                                                              |          2 |         87 |          0 |          5 |         92 |
| components/Badge                                                                                                            |          2 |         19 |          0 |          5 |         24 |
| components/CartControlButtons                                                                                               |          2 |         66 |          6 |         11 |         83 |
| components/CategoryTitle                                                                                                    |          2 |         19 |          0 |          5 |         24 |
| components/CheckoutForm                                                                                                     |          2 |        221 |          4 |         18 |        243 |
| components/CustoButton                                                                                                      |          2 |        153 |          0 |         10 |        163 |
| components/Footer                                                                                                           |          2 |          0 |          0 |          2 |          2 |
| components/Header                                                                                                           |          2 |        124 |         15 |         17 |        156 |
| components/Loader                                                                                                           |          2 |        123 |          4 |         17 |        144 |
| components/LocalMessage                                                                                                     |          2 |         92 |          0 |          8 |        100 |
| components/Menu                                                                                                             |          2 |         91 |          6 |         14 |        111 |
| components/OrderItem                                                                                                        |          2 |         60 |          0 |          8 |         68 |
| components/ProductDetail                                                                                                    |          2 |        101 |          5 |         11 |        117 |
| components/ProductItem                                                                                                      |          2 |        129 |          1 |         10 |        140 |
| components/ProductModal                                                                                                     |          2 |        228 |         27 |         20 |        275 |
| components/ProductOverview                                                                                                  |          1 |         36 |          0 |          3 |         39 |
| components/Suggestions                                                                                                      |          2 |         77 |          4 |         12 |         93 |
| components/TextInput                                                                                                        |          2 |         85 |          0 |         14 |         99 |
| components/UpdateProductModal                                                                                               |          1 |        207 |         20 |         13 |        240 |
| components/UserTopBar                                                                                                       |          2 |         81 |          0 |          8 |         89 |
| data                                                                                                                        |          2 |         77 |          0 |          2 |         79 |
| pages                                                                                                                       |         15 |      1,086 |         42 |         78 |      1,206 |
| pages/AdminOrders                                                                                                           |          1 |        127 |          0 |          8 |        135 |
| pages/AdminReports                                                                                                          |          1 |        209 |          0 |         13 |        222 |
| pages/Checkout                                                                                                              |          2 |        204 |          0 |          8 |        212 |
| pages/Home                                                                                                                  |          2 |         84 |          1 |          5 |         90 |
| pages/Login                                                                                                                 |          2 |         73 |          0 |          9 |         82 |
| pages/Payment                                                                                                               |          2 |         38 |          0 |          7 |         45 |
| pages/Products                                                                                                              |          1 |         50 |          0 |          3 |         53 |
| pages/Register                                                                                                              |          1 |        122 |         41 |         11 |        174 |
| pages/User                                                                                                                  |          1 |        144 |          0 |          9 |        153 |
| pages/UserOrders                                                                                                            |          2 |         35 |          0 |          5 |         40 |
| querries                                                                                                                    |          4 |        537 |          0 |         32 |        569 |
| redux                                                                                                                       |         28 |        491 |          2 |        100 |        593 |
| redux/reducers                                                                                                              |         27 |        480 |          2 |         95 |        577 |
| redux/reducers/app                                                                                                          |          4 |         85 |          0 |         17 |        102 |
| redux/reducers/cart                                                                                                         |          5 |        113 |          1 |         20 |        134 |
| redux/reducers/order                                                                                                        |          4 |         60 |          0 |         13 |         73 |
| redux/reducers/payment                                                                                                      |          4 |         29 |          0 |          9 |         38 |
| redux/reducers/product                                                                                                      |          5 |        121 |          1 |         20 |        142 |
| redux/reducers/user                                                                                                         |          4 |         49 |          0 |         11 |         60 |
| utils                                                                                                                       |          1 |          3 |          0 |          1 |          4 |
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                    | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/CustomHooks/useCreatePaymentIntent.js                       | JavaScript |         16 |          0 |          3 |         19 |
| /Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/CustomHooks/useFetchAllOrders.js                            | JavaScript |         22 |          1 |          2 |         25 |
| /Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/CustomHooks/useFetchAllProducts.js                          | JavaScript |         11 |          0 |          2 |         13 |
| /Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/CustomHooks/useFetchOrdersByUserId.js                       | JavaScript |         15 |          0 |          2 |         17 |
| /Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/CustomHooks/useFetchRawOrders.js                            | JavaScript |         11 |          0 |          3 |         14 |
| /Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/_consts/colors/colors.js                                    | JavaScript |          7 |          0 |          1 |          8 |
| /Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/_consts/server/server.js                                    | JavaScript |          6 |          0 |          1 |          7 |
